candidateId,value,universidad homologada
630665b8594e18004af049ad,Instituto Idiomas Católica,INSTITUTO IDIOMAS CATÓLICA
630665b8594e18004af049b7,Universidad César Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af049bf,Iestp 4 De Junio De 82,IESTP 4 DE JUNIO DE 82
630665b8594e18004af049bf,Universidad Nacional De Jaén,UNIVERSIDAD NACIONAL DE JAÉN
630665b8594e18004af049c7,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af049dc,Certus,CERTUS
630665b8594e18004af049e5,Istp Perú Pacifico,ISTP PERÚ PACIFICO
630665b8594e18004af049ed,Universidad Nacional Mayor De San Marcos,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
630665b8594e18004af049f4,Certus,CERTUS
630665b8594e18004af049fa,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04a00,Adex,ADEX
630665b8594e18004af04a09,Certus,CERTUS
630665b8594e18004af04a12,Instituto Cepeban,INSTITUTO CEPEBAN
630665b8594e18004af04a18,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04a1e,Certus,CERTUS
630665b8594e18004af04a24,Certus,CERTUS
630665b8594e18004af04a2b,I.e.s.t.p John Von Neumann,IESTP JOHN VON NEUMANN
630665b8594e18004af04a33,Cepeban,CEPEBAN
630665b8594e18004af04a33,Computron,COMPUTRON
630665b8594e18004af04a3a,Universidad Cesar Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04a41,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04a41,Icpna,ICPNA
630665b8594e18004af04a4c,Cepeban,CEPEBAN
630665b8594e18004af04a54,Certus,CERTUS
630665b8594e18004af04a5a,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04a61,Zegel Ipae,ZEGEL IPAE
630665b8594e18004af04a68,Universidad San Ignacio De Loyola,UNIVERSIDAD SAN IGNACIO DE LOYOLA SRL
630665b8594e18004af04a71,Certus,CERTUS
630665b8594e18004af04a71,Instituto Telesup,INSTITUTO TELESUP
630665b8594e18004af04a71,Intur Perú - Telesup,INTUR PERÚ  TELESUP
630665b8594e18004af04a7c,Universidad Inca Garcilaso De La Vega - Uigv,UNIVERSIDAD INCA GARCILASO DE LA VEGA  UIGV
630665b8594e18004af04a89,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04a90,Idat,IDAT
630665b8594e18004af04a97,I.e.leoncio Prado,IELEONCIO PRADO
630665b8594e18004af04aa0,Universidad César Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04aa7,Universidad Privada Antenor Orrego,UNIVERSIDAD PRIVADA ANTENOR ORREGO
630665b8594e18004af04aaf,Universidad Ricardo Palma,UNIVERSIDAD RICARDO PALMA
630665b8594e18004af04ab6,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04ab6,I.e.p. Fray Luis De León,IEP FRAY LUIS DE LEÓN
630665b8594e18004af04ac5,Universidad Nacional Daniel Alcides Carrión,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN
630665b8594e18004af04acf,Universidad Cesar Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04ad6,Certus,CERTUS
630665b8594e18004af04add,Certus,CERTUS
630665b8594e18004af04af5,Universidad Católica Sedes Sapientiae,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE
630665b8594e18004af04afd,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04b05,Universidad Autónoma Del Perú,UNIVERSIDAD AUTÓNOMA DEL PERÚ SAC
630665b8594e18004af04b0c,Certus,CERTUS
630665b8594e18004af04b13,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04b1e,Pontificia Universidad Católica Del Perú,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ
630665b8594e18004af04b26,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04b2c,Iestp Simón Bolivar,IESTP SIMÓN BOLIVAR
630665b8594e18004af04b38,Certus,CERTUS
630665b8594e18004af04b40,Senati(independencia),SENATIINDEPENDENCIA
630665b8594e18004af04b46,Certus,CERTUS
630665b8594e18004af04b4c,Instituto Certus,INSTITUTO CERTUS
630665b8594e18004af04b54,Senati,SENATI
630665b8594e18004af04b5c,Universidad César Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04b63,Certus,CERTUS
630665b8594e18004af04b69,Alas Peruanas,ALAS PERUANAS
630665b8594e18004af04b71,Universidad César Vallejo​,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04b77,Certus,CERTUS
630665b8594e18004af04b7e,Universidad Cesar Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04b84,Britanico,BRITANICO
630665b8594e18004af04b90,Universidad Peruana Los Andes,UNIVERSIDAD PERUANA LOS ANDES
630665b8594e18004af04b9a,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04ba2,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04ba9,Certus,CERTUS
630665b8594e18004af04bb3,Certus,CERTUS
630665b8594e18004af04bbb,Usil,UNIVERSIDAD SAN IGNACIO DE LOYOLA SRL
630665b8594e18004af04bbb,Isil,ISIL
630665b8594e18004af04bc5,Certus,CERTUS
630665b8594e18004af04bcc,Instituto Cibertec,INSTITUTO CIBERTEC
630665b8594e18004af04bda,Universidad Peruana De Ciencias Aplicadas,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS SAC
630665b8594e18004af04be1,Zegel Ipae,ZEGEL IPAE
630665b8594e18004af04be1,Instituto Tecnologico De Chile,INSTITUTO TECNOLOGICO DE CHILE
630665b8594e18004af04bf4,Ifb Certus,IFB CERTUS
630665b8594e18004af04bfa,Upn,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04c00,Icpna,ICPNA
630665b8594e18004af04c00,Torre Usil,TORRE USIL
630665b8594e18004af04c08,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04c10,Universidad Tecnologica Del Peru,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04c19,Certus,CERTUS
630665b8594e18004af04c28,Universidad César Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04c2e,Certus,CERTUS
630665b8594e18004af04c35,Certus,CERTUS
630665b8594e18004af04c3d,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04c45,Ibp  El Buen Pastor,IBP  EL BUEN PASTOR
630665b8594e18004af04c4c,Cibertec,CIBERTEC
630665b8594e18004af04c55,Icpna,ICPNA
630665b8594e18004af04c55,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04c5f,Ifb Certus,IFB CERTUS
630665b8594e18004af04c65,Universidad Cesar Vallejo - Ucv,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04c6e,Instituto Cibertec,INSTITUTO CIBERTEC
630665b8594e18004af04c77,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04c7f,Cetpro Computec Millenium,CETPRO COMPUTEC MILLENIUM
630665b8594e18004af04c86,Universidad Nacional Del Callao - Unac,UNIVERSIDAD NACIONAL DEL CALLAO
630665b8594e18004af04c8f,Pucp,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ
630665b8594e18004af04c96,Universidad Autònoma Del Perù,UNIVERSIDAD AUTÓNOMA DEL PERÚ SAC
630665b8594e18004af04c96,Instituto Superior Tecnológico Público Julio César Tello,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO JULIO CÉSAR TELLO
630665b8594e18004af04c9d,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04ca5,Universidad Autónoma Del Perú,UNIVERSIDAD AUTÓNOMA DEL PERÚ SAC
630665b8594e18004af04ca5,Iep San José De Los Balnearios Del Sur,IEP SAN JOSÉ DE LOS BALNEARIOS DEL SUR
630665b8594e18004af04cb1,Cesca,CESCA
630665b8594e18004af04cb8,Isil,ISIL
630665b8594e18004af04cc1,Universidad Andina Néstor Cáceres Velasquez,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELASQUEZ
630665b8594e18004af04cc9,Icpna,ICPNA
630665b8594e18004af04cc9,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04cd1,Universidad Nacional Federico Villareal,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL
630665b8594e18004af04cd1,Icpna,ICPNA
630665b8594e18004af04cd8,Ipae,IPAE
630665b8594e18004af04cd8,Jose De San Martin,JOSE DE SAN MARTIN
630665b8594e18004af04ce2,César Vallejo - Lima,CÉSAR VALLEJO  LIMA
630665b8594e18004af04cef,Universidad Científica Del Sur,UNIVERSIDAD CIENTÍFICA DEL SUR SAC
630665b8594e18004af04cef,Adex,ADEX
630665b8594e18004af04cfb,Instituto Arzobispo Loayza,INSTITUTO ARZOBISPO LOAYZA
630665b8594e18004af04cfb,Universidad Cesar Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04d04,Adex Instituto,ADEX INSTITUTO
630665b8594e18004af04d0b,Idat,IDAT
630665b8594e18004af04d15,Universidad San Ignacio De Loyola - Usil,UNIVERSIDAD SAN IGNACIO DE LOYOLA SRL
630665b8594e18004af04d15,Instituto De Formación Bancaria - Ifb Certus,INSTITUTO DE FORMACIÓN BANCARIA  IFB CERTUS
630665b8594e18004af04d20,Universidad San Martin De Porres,UNIVERSIDAD DE SAN MARTÍN DE PORRES
630665b8594e18004af04d20,Computronic,COMPUTRONIC
630665b8594e18004af04d31,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04d3b,Universidad De San Martín De Porres,UNIVERSIDAD DE SAN MARTÍN DE PORRES
630665b8594e18004af04d41,Universidad Nacional De San Agustín,UNIVERSIDAD NACIONAL DE SAN MARTÍN
630665b8594e18004af04d4b,Unap,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA
630665b8594e18004af04d51,Instituto De Educación Superior Tecnológico Privado Acip,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PRIVADO ACIP
630665b8594e18004af04d5d,Isam,ISAM
630665b8594e18004af04d63,Idat,IDAT
630665b8594e18004af04d6a,Universidad San Ignacio De Loyola - Usil,UNIVERSIDAD SAN IGNACIO DE LOYOLA SRL
630665b8594e18004af04d79,Instituto Superior Tecnologico La Oroya,INSTITUTO SUPERIOR TECNOLOGICO LA OROYA
630665b8594e18004af04d81,Universidad Peruana Los Andes,UNIVERSIDAD PERUANA LOS ANDES
630665b8594e18004af04d81,Andres A. Avelino Caceres,ANDRES A AVELINO CACERES
630665b8594e18004af04d8b,Universidad Peruana Los Andes,UNIVERSIDAD PERUANA LOS ANDES
630665b8594e18004af04d91,Instituto Continental,INSTITUTO CONTINENTAL
630665b8594e18004af04d98,Sise,SISE
630665b8594e18004af04dab,Universidad Cesar Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04db3,Universidad Nacional De La Amazonia Peruana,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA
630665b8594e18004af04dba,Unes- Esforspol,UNES ESFORSPOL
630665b8594e18004af04dc0,Certus,CERTUS
630665b8594e18004af04dc6,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04dd1,Instituto De Educación Superior De Perumaster,INSTITUTO DE EDUCACIÓN SUPERIOR DE PERUMASTER
630665b8594e18004af04dd7,Netzun,NETZUN
630665b8594e18004af04dd7,Instituto Nacional De Estadística E Informática - Inei,INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA  INEI
630665b8594e18004af04de5,I.s.t.p Cepea,ISTP CEPEA
630665b8594e18004af04dee,Universidad Nacional De La Amazonia Peruana,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA
630665b8594e18004af04dee,Ceps. Virgen De Loreto,CEPS VIRGEN DE LORETO
630665b8594e18004af04df6,Sabio Nacional Antúnez De Mayolo,SABIO NACIONAL ANTÚNEZ DE MAYOLO
630665b8594e18004af04e02,Certus,CERTUS
630665b8594e18004af04e02,Certus,CERTUS
630665b8594e18004af04e0b,Utp - Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04e0b,Icpna,ICPNA
630665b8594e18004af04e14,Universidad Cesar Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af04e1b,Universidad Nacional De La Amazonia Peruana,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA
630665b8594e18004af04e1b,San Francisco De Asís,SAN FRANCISCO DE ASÍS
630665b8594e18004af04e29,Universidad Nacional Daniel Alcides Carrión - Undac,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN
630665b8594e18004af04e29,Universidad Privada Telesup,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04e33,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04e3e,Universidad Alas Peruanas,UNIVERSIDAD ALAS PERUANAS
630665b8594e18004af04e4a,Universidad Nacional De Tumbes,UNIVERSIDAD NACIONAL DE TUMBES
630665b8594e18004af04e52,Universidad Nacional De Educación Enrique Guzmán Y Valle - La Cantuta,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE
630665b8594e18004af04e59,Universidad San Martin De Porres,UNIVERSIDAD DE SAN MARTÍN DE PORRES
630665b8594e18004af04e64,Universidad Nacional De Tumbes,UNIVERSIDAD NACIONAL DE TUMBES
630665b8594e18004af04e6b,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04e71,Sise,SISE
630665b8594e18004af04e7a,Iestp Argentina,IESTP ARGENTINA
630665b8594e18004af04e82,Telesup,TELESUP
630665b8594e18004af04e8e,Universidad Tecnológica Del Perú - Utp,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af04ea0,Idat,IDAT
630665b8594e18004af04ea0,I.e. Virgen Del Morro Solar,IE VIRGEN DEL MORRO SOLAR
630665b8594e18004af04ea8,Administracion De Empresas,ADMINISTRACION DE EMPRESAS
630665b8594e18004af04eae,Sise,SISE
630665b8594e18004af04eb5,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af04eb5,Británico,BRITÁNICO
630665b8594e18004af04ebd,Certus,CERTUS
630665b8594e18004af04ebd,N°3 Monitor Huascar,N3 MONITOR HUASCAR
630665b8594e18004af04ed2,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af04ed2,Eiger,EIGER
630665b8594e18004af04eda,Universidad Del Pacifico,UNIVERSIDAD DEL PACÍFICO
630665b8594e18004af04ee0,Modern Systems,MODERN SYSTEMS
630665b8594e18004af04ee7,Idat,IDAT
630665b8594e18004af04eef,Idat,IDAT
630665b8594e18004af04ef5,Enrique Guzmán Y Valle,ENRIQUE GUZMÁN Y VALLE
